1 - Qual a sua idade?,2 - Reside em Cachoeira do sul ou se mudaria para a cidade:,"3 - Se não reside em Cachoeira do Sul, mora em qual cidade?",4 - Qual a sua escolaridade:,"5 - Se possuí formação superior, qual o nível:","6 - Se você trabalha, qual a sua área de atuação:",7 - Seria a sua primeira vez estudando na UFSM-CS:,8 - Qual curso está cursando na UFSM-CS?,9 - Em quanto tempo pretende iniciar uma graduação?,"10 - Teria interesse em cursos da área de Exatas (como Matemática, Física, Química, Engenharia, entre outros)? Essa área abrange cursos voltados para o raciocínio lógico, cálculo, experimentação e tecnologia, podendo ter foco em pesquisa, indústria ou ensino (Licenciatura).","11 - Na sua opinião, qual a maior dificuldade para iniciar ou concluir uma graduação:","12 - Sobre o curso apresentado (Ciências Exatas e Sustentabilidade Tecnológica), você teria interesse em cursá-lo na UFSM-CS?",13 - Qual seu nível de interesse em fazer o curso apresentado?,14 - Qual turno seria mais adequado para você fazer o curso?,15 - Quais fatores te influenciam na escolha do curso? (marque até 2),16 - Você estaria disposto a fazer o curso mesmo se precisasse trabalhar e estudar ao mesmo tempo?,17 - Qual é o seu nível de interesse em um curso de Engenharia de Software?,"18 -  Se não tem interesse em nenhum desses cursos, teria interesse em algum outro:",19 - Em qual dos cursos ofertados pela UFSM-CS você tem interesse?,"20 - Em qual curso,  não ofertado pela UFSM-CS ,  você tem interesse?",24 - Você conhece alguém que teria interesse em fazer alguns dos cursos apresentados?,Identificação
18–24,"Não, eu não moro em Cachoeira do Sul, mas teria interesse em me mudar para cursar na UFSM-CS",Rio Pardo - RS,Ensino Médio completo,Não tenho,Comércio / Vendas / Atendimento,Sim,,Em 1–2 anos,"Talvez, dependendo do curso",Falta de dinheiro,"Não, mas tenho interesse em outro curso ofertado na UFSM-CS",,,,,,,Engenharia Agrícola,,Não,Escola
18–24,"Sim, eu moro em Cachoeira do Sul",,Ensino Médio incompleto,Não tenho,Não estou trabalhando,Sim,,Nos próximos 6 meses,Não tenho interesse,,,,,,,,,,,Não,Escola
18–24,"Sim, eu moro em Cachoeira do Sul",,Ensino Médio incompleto,Não tenho,Não estou trabalhando,Sim,,Ainda sem previsão,Não tenho interesse,,,,,,,,,,,Não,Escola
18–24,"Sim, eu moro em Cachoeira do Sul",,Ensino Médio incompleto,Não tenho,Não estou trabalhando,Sim,,Em até 1 ano,Não tenho interesse,,,,,,,,,,,Sim,Escola
18–24,"Sim, eu moro em Cachoeira do Sul",,Ensino Médio incompleto,Não tenho,Comércio / Vendas / Atendimento,Sim,,Em até 1 ano,Não tenho interesse,,,,,,,,,,,Não,Escola
Menos de 18,"Sim, eu moro em Cachoeira do Sul",,Ensino Médio incompleto,Não tenho,Não estou trabalhando,Sim,,Nos próximos 6 meses,"Talvez, dependendo do curso",Falta de dinheiro,"Não, mas tenho interesse em outro curso não ofertado na UFSM-CS",,,,,,,,Ciências Contábeis ,Não,Escola
Menos de 18,"Sim, eu moro em Cachoeira do Sul",,Ensino Médio incompleto,Não tenho,Não estou trabalhando,Sim,,Em até 1 ano,"Talvez, dependendo do curso",Falta de dinheiro,Talvez,3 – Interesse moderado,Noturno,"Remuneração no mercado, Facilidade de inserção profissional",Talvez,Talvez teria interesse,,,,Não,Escola
18–24,"Sim, eu moro em Cachoeira do Sul",,Ensino Médio incompleto,Não tenho,Não estou trabalhando,Sim,,Nos próximos 6 meses,"Talvez, dependendo do curso",Falta de dinheiro,Sim,3 – Interesse moderado,Noturno,"Afinidade com a área, Facilidade de inserção profissional",Sim,Talvez teria interesse,,,,Sim,Escola
Menos de 18,"Sim, eu moro em Cachoeira do Sul",,Ensino Médio incompleto,Não tenho,Não estou trabalhando,Sim,,Ainda sem previsão,"Talvez, dependendo do curso",Falta de dinheiro,"Não, mas conheço alguém que teria interesse",,,,,,,,,Sim,Escola
Menos de 18,"Sim, eu moro em Cachoeira do Sul",,Ensino Médio incompleto,Não tenho,Não estou trabalhando,Sim,,Em até 1 ano,Não tenho interesse,,,,,,,,,,,Sim,Escola
18–24,"Sim, eu moro em Cachoeira do Sul",,Ensino Médio incompleto,Não tenho,Não estou trabalhando,Sim,,Em até 1 ano,Não tenho interesse,,,,,,,,,,,Não,Escola
18–24,"Sim, eu moro em Cachoeira do Sul",,Ensino Médio incompleto,Não tenho,Não estou trabalhando,Sim,,Nos próximos 6 meses,"Talvez, dependendo do curso",Falta de dinheiro,"Não, mas tenho interesse em outro curso ofertado na UFSM-CS",,,,,,,Ciências de Dados e Inteligência Artificial,,Não,Escola
18–24,"Sim, eu moro em Cachoeira do Sul",,Ensino Médio incompleto,Não tenho,"Saúde (ex: enfermagem, medicina, odontologia)",Sim,,Ainda sem previsão,"Talvez, dependendo do curso",Falta de dinheiro,"Não, mas tenho interesse em outro curso não ofertado na UFSM-CS",,,,,,,,,Não,Escola
Menos de 18,"Sim, eu moro em Cachoeira do Sul",,Ensino Médio incompleto,Não tenho,Não estou trabalhando,Sim,,Em até 1 ano,"Talvez, dependendo do curso",Falta de dinheiro,"Não, mas conheço alguém que teria interesse",,,,,,,,,Sim,Escola
Menos de 18,"Sim, eu moro em Cachoeira do Sul",,Ensino Médio incompleto,Técnico,Não estou trabalhando,Sim,,Em até 1 ano,"Talvez, dependendo do curso",Falta de tempo,"Não, pois já estou cursando outro curso em outra instituição",,,,,,Ainda não sei / Estou em dúvida,,,,Escola
18–24,"Sim, eu moro em Cachoeira do Sul",,Ensino Médio incompleto,Não tenho,Não estou trabalhando,Sim,,Nos próximos 6 meses,Não tenho interesse,,,,,,,,,,,Sim,Escola
Menos de 18,"Sim, eu moro em Cachoeira do Sul",,Ensino Médio incompleto,Não tenho,Não estou trabalhando,Sim,,Em 1–2 anos,Não tenho interesse,,,,,,,,,,,Sim,Escola
18–24,"Sim, eu moro em Cachoeira do Sul",,Ensino Médio incompleto,Não tenho,Alimentação,Sim,,Ainda sem previsão,Não tenho interesse,,,,,,,,,,,Não,Escola
18–24,"Sim, eu moro em Cachoeira do Sul",,Ensino Médio incompleto,Não tenho,Não estou trabalhando,Sim,,Nos próximos 6 meses,"Talvez, dependendo do curso",Falta de dinheiro,"Não, mas tenho interesse em outro curso não ofertado na UFSM-CS",,,,,,,,Medicina,Sim,Escola
Menos de 18,"Sim, eu moro em Cachoeira do Sul",,Ensino Médio incompleto,Não tenho,Não estou trabalhando,Sim,,Em 1–2 anos,"Talvez, dependendo do curso",Falta de dinheiro,Talvez,2 – Tenho pouco interesse,Diurno,"Remuneração no mercado, Facilidade de inserção profissional",Sim,Talvez teria interesse,,,,Não,Escola
18–24,"Sim, eu moro em Cachoeira do Sul",,Ensino Médio incompleto,Não tenho,Não estou trabalhando,Sim,,Em 1–2 anos,"Talvez, dependendo do curso",Distância,Talvez,3 – Interesse moderado,Noturno,"Afinidade com a área, Remuneração no mercado, Facilidade de inserção profissional, Prestígio da profissão, Duração do curso, Opinião de familiares/amigos",Sim,Talvez teria interesse,,,,Não,Escola
Menos de 18,"Sim, eu moro em Cachoeira do Sul",,Ensino Médio incompleto,Não tenho,Não estou trabalhando,Sim,,Nos próximos 6 meses,"Sim, tenho interesse",Distância,Talvez,3 – Interesse moderado,Diurno,"Afinidade com a área, Remuneração no mercado",Talvez,Talvez teria interesse,,,,Sim,Escola
18–24,"Sim, eu moro em Cachoeira do Sul",,Ensino Médio incompleto,Não tenho,Beleza \ Estética,Sim,,Em 1–2 anos,"Talvez, dependendo do curso",vestibular ,Não,,,,,Não tenho interesse,"Sim, mas em outro curso não ofertado pela UFSM-CS",,.,Não,Escola
18–24,"Sim, eu moro em Cachoeira do Sul",,Ensino Médio incompleto,Não tenho,Não estou trabalhando,Sim,,Nos próximos 6 meses,"Talvez, dependendo do curso",Distância,Talvez,3 – Interesse moderado,Noturno,"Afinidade com a área, Remuneração no mercado",Sim,Talvez teria interesse,,,,Não,Escola
18–24,"Sim, eu moro em Cachoeira do Sul",,Ensino Médio incompleto,Não tenho,Não estou trabalhando,Sim,,Em até 1 ano,"Talvez, dependendo do curso",Falta de dinheiro,Talvez,2 – Tenho pouco interesse,Noturno,"Duração do curso, Opinião de familiares/amigos",Sim,Não tenho interesse,"Sim, mas em outro curso não ofertado pela UFSM-CS",,Medicina,Não,Escola
Menos de 18,"Sim, eu moro em Cachoeira do Sul",,Ensino Médio incompleto,Técnico,Não estou trabalhando,Sim,,Ainda sem previsão,"Sim, tenho interesse",Falta de tempo,Sim,1 – Não tenho interesse,Noturno,"Remuneração no mercado, Duração do curso",Sim,Tenho interesse,,,,Não,Escola
18–24,"Sim, eu moro em Cachoeira do Sul",,Ensino Médio completo,Não tenho,Não estou trabalhando,Sim,,Em 1–2 anos,Não tenho interesse,,,,,,,,,,,Sim,Escola
18–24,"Sim, eu moro em Cachoeira do Sul",,Ensino Médio incompleto,Não tenho,Indústria / Produção,Sim,,Ainda sem previsão,Não tenho interesse,,,,,,,,,,,Não,Escola
35+,"Sim, eu moro em Cachoeira do Sul",,Pós-graduação,Bacharel,Servidor publico ,Sim,,Ainda sem previsão,"Talvez, dependendo do curso",Falta de tempo,Sim,3 – Interesse moderado,Noturno,"Afinidade com a área, Duração do curso",Talvez,Tenho interesse,,,,Sim,Escola
25–34,"Sim, eu moro em Cachoeira do Sul",,Ensino Superior completo,Licenciatura,Educação / Ensino / Pedagogia,Sim,,Ainda sem previsão,"Talvez, dependendo do curso",Falta de tempo,Talvez,3 – Interesse moderado,Noturno,"Afinidade com a área, Remuneração no mercado",Talvez,Talvez teria interesse,,,,Não,Escola
18–24,"Sim, eu moro em Cachoeira do Sul",,Ensino Médio incompleto,Não tenho,Não estou trabalhando,Sim,,Em 1–2 anos,"Talvez, dependendo do curso",Falta de dinheiro,Talvez,3 – Interesse moderado,Noturno,"Remuneração no mercado, Prestígio da profissão",Sim,Tenho interesse,,,,Sim,Escola
18–24,"Sim, eu moro em Cachoeira do Sul",,Ensino Médio incompleto,Não tenho,Não estou trabalhando,Sim,,Em até 1 ano,"Sim, tenho interesse",Trabalho / família,Talvez,4- Interesse alto,Noturno,"Remuneração no mercado, Prestígio da profissão",Sim,Não tenho interesse,"Sim, tenho interesse em outro curso da UFSM-CS",Engenharia Agrícola,,Não,Escola
18–24,"Sim, eu moro em Cachoeira do Sul",,Ensino Médio incompleto,Não tenho,Não estou trabalhando,Sim,,Ainda sem previsão,"Sim, tenho interesse",Falta de dinheiro,Sim,4- Interesse alto,Noturno,Opinião de familiares/amigos,Sim,Tenho interesse,,,,Sim,Escola
18–24,"Sim, eu moro em Cachoeira do Sul",,Ensino Médio incompleto,Não tenho,Não estou trabalhando,Sim,,Nos próximos 6 meses,Não tenho interesse,,,,,,,,,,,Sim,Escola
25–34,"Não, eu não moro em Cachoeira do Sul, mas teria interesse em me mudar para cursar na UFSM-CS",Santa Rosa - RS,Ensino Superior completo,Bacharel,Não estou trabalhando,"Não, estou cursando outro curso na UFSM-CS no momento",Engenharia Mecânica,,"Sim, tenho interesse",Falta de dinheiro,Talvez,3 – Interesse moderado,Integral,Afinidade com a área,Sim,Talvez teria interesse,,,,Sim,Escola
35+,"Sim, eu moro em Cachoeira do Sul",,Ensino Médio incompleto,Não tenho,Manutenção \ Limpeza ,Sim,,Ainda sem previsão,"Talvez, dependendo do curso",Trabalho / família,Talvez,1 – Não tenho interesse,Noturno,Duração do curso,Sim,Talvez teria interesse,,,,Não,Escola
18–24,"Não, eu não moro em Cachoeira do Sul, mas teria interesse em me mudar para cursar na UFSM-CS",Rosário do Sul - RS,Ensino Médio completo,Não tenho,Não estou trabalhando,Sim,,Ainda sem previsão,Não tenho interesse,,,,,,,,,,,Sim,Outro
Menos de 18,"Não, eu não moro em Cachoeira do Sul, mas teria interesse em me mudar para cursar na UFSM-CS",Rosário do Sul - RS,Ensino Médio completo,Não tenho,Não estou trabalhando,Sim,,Nos próximos 6 meses,Não tenho interesse,,,,,,,,,,,Sim,Outro
Menos de 18,"Não, eu não moro em Cachoeira do Sul, mas teria interesse em me mudar para cursar na UFSM-CS",Rosário do Sul - RS,Ensino Médio completo,Não tenho,Não estou trabalhando,Sim,,Em até 1 ano,"Talvez, dependendo do curso",Falta de dinheiro,Talvez,2 – Tenho pouco interesse,Noturno,Afinidade com a área,Talvez,Talvez teria interesse,,,,Não,Outro
18–24,"Não, eu não moro em Cachoeira do Sul e não tenho interesse em me mudar para a cidade",Rosário do Sul - RS,Ensino Médio incompleto,Não tenho,Não estou trabalhando,Sim,,Ainda sem previsão,Não tenho interesse,,,,,,,,,,,Não,Outro
Menos de 18,"Não, eu não moro em Cachoeira do Sul, mas teria interesse em me mudar para cursar na UFSM-CS",Rosário do Sul - RS,Ensino Médio completo,Não tenho,Tecnologia da Informação (TI),Sim,,Em até 1 ano,"Talvez, dependendo do curso",Trabalho / família,Sim,4- Interesse alto,Diurno,Facilidade de inserção profissional,Sim,Talvez teria interesse,,,,Não,Outro
35+,"Não, eu não moro em Cachoeira do Sul, mas teria interesse em me mudar para cursar na UFSM-CS",Rosário do Sul - RS,Pós-graduação,Mestrado,Administração / Gestão,Sim,,Em 1–2 anos,"Sim, tenho interesse",Trabalho / família,Sim,4- Interesse alto,Noturno,Afinidade com a área,Sim,Tenho interesse,,,,Sim,Outro
Menos de 18,"Não, eu não moro em Cachoeira do Sul e não tenho interesse em me mudar para a cidade",Rosário do Sul - RS,Ensino Médio incompleto,Não tenho,Não estou trabalhando,Sim,,Nos próximos 6 meses,"Talvez, dependendo do curso",Falta de dinheiro,Sim,4- Interesse alto,Noturno,Facilidade de inserção profissional,Sim,Tenho interesse,,,,Não,Outro
35+,"Não, eu não moro em Cachoeira do Sul e não tenho interesse em me mudar para a cidade",Rosário do Sul - RS,Pós-graduação,Bacharel e Licenciatura,Educação / Ensino / Pedagogia,Sim,,Ainda sem previsão,"Sim, tenho interesse",Distância,Sim,4- Interesse alto,Noturno,Afinidade com a área,Sim,Talvez teria interesse,,,,Sim,Outro
18–24,"Não, eu não moro em Cachoeira do Sul e não tenho interesse em me mudar para a cidade",Rosário do Sul - RS,Ensino Médio incompleto,Técnico,Freelancer / Autônomo,Sim,,Nos próximos 6 meses,"Talvez, dependendo do curso",Falta de tempo,Talvez,3 – Interesse moderado,Noturno,"Remuneração no mercado, Opinião de familiares/amigos",Sim,Talvez teria interesse,,,,Sim,Outro
Menos de 18,"Não, eu não moro em Cachoeira do Sul e não tenho interesse em me mudar para a cidade",Rosário do Sul - RS,Ensino Médio completo,Não tenho,Não estou trabalhando,Sim,,Em 1–2 anos,"Sim, tenho interesse",Falta de dinheiro,Sim,4- Interesse alto,Noturno,Afinidade com a área,Sim,Tenho interesse,,,,Sim,Outro
Menos de 18,"Não, eu não moro em Cachoeira do Sul, mas teria interesse em me mudar para cursar na UFSM-CS",Rosário do Sul - RS,Ensino Médio incompleto,Não tenho,Não estou trabalhando,Sim,,Em até 1 ano,"Talvez, dependendo do curso",Falta de dinheiro,Sim,4- Interesse alto,Noturno,"Afinidade com a área, Remuneração no mercado",Sim,Talvez teria interesse,,,,Não,Outro
Menos de 18,"Não, eu não moro em Cachoeira do Sul, mas teria interesse em me mudar para cursar na UFSM-CS",Rosário do Sul - RS,Ensino Médio incompleto,Não tenho,Não estou trabalhando,Sim,,Em 1–2 anos,"Talvez, dependendo do curso",Falta de dinheiro,Talvez,4- Interesse alto,Noturno,"Afinidade com a área, Facilidade de inserção profissional",Talvez,Tenho interesse,,,,Sim,Outro
Menos de 18,"Não, eu não moro em Cachoeira do Sul e não tenho interesse em me mudar para a cidade",Rosário do Sul - RS,Ensino Médio incompleto,Não tenho,Administração / Gestão,Sim,,Ainda sem previsão,"Sim, tenho interesse",Falta de dinheiro,Sim,4- Interesse alto,Noturno,"Afinidade com a área, Facilidade de inserção profissional",Sim,Tenho interesse,,,,Não,Outro
Menos de 18,"Não, eu não moro em Cachoeira do Sul, mas teria interesse em me mudar para cursar na UFSM-CS",Rosário do Sul - RS,Ensino Médio completo,Técnico,Não estou trabalhando,Sim,,Nos próximos 6 meses,Não tenho interesse,,,,,,,,,,,Não,Outro
18–24,"Não, eu não moro em Cachoeira do Sul, mas teria interesse em me mudar para cursar na UFSM-CS",Rosário do Sul - RS,Ensino Médio incompleto,Não tenho,Freelancer / Autônomo,Sim,,Ainda sem previsão,Não tenho interesse,,,,,,,,,,,Não,Outro
35+,"Não, eu não moro em Cachoeira do Sul, mas teria interesse em me mudar para cursar na UFSM-CS",Rosário do Sul - RS,Pós-graduação,Licenciatura,Educação / Ensino / Pedagogia,Sim,,Ainda sem previsão,"Talvez, dependendo do curso",Trabalho / família,Talvez,3 – Interesse moderado,Diurno,Afinidade com a área,Talvez,Talvez teria interesse,,,,Sim,Outro
Menos de 18,"Não, eu não moro em Cachoeira do Sul, mas teria interesse em me mudar para cursar na UFSM-CS",Rosário do Sul - RS,Ensino Médio incompleto,Não tenho,Estagiário,Sim,,Ainda sem previsão,"Talvez, dependendo do curso",Falta de dinheiro,Talvez,3 – Interesse moderado,Noturno,"Remuneração no mercado, Prestígio da profissão",Sim,Talvez teria interesse,,,,Sim,Outro
18–24,"Não, eu não moro em Cachoeira do Sul e não tenho interesse em me mudar para a cidade",Rosário do Sul - RS,Ensino Médio completo,Não tenho,Não estou trabalhando,Sim,,Ainda sem previsão,"Talvez, dependendo do curso",Falta de dinheiro,Talvez,3 – Interesse moderado,Noturno,"Facilidade de inserção profissional, Duração do curso, ",Sim,Talvez teria interesse,,,,Não,Outro
Menos de 18,"Não, eu não moro em Cachoeira do Sul, mas teria interesse em me mudar para cursar na UFSM-CS",Rosário do Sul - RS,Ensino Médio incompleto,Não tenho,Não estou trabalhando,Sim,,Em 1–2 anos,"Sim, tenho interesse",Falta de dinheiro,Sim,5 - Interesse muito alto,Diurno,Afinidade com a área,Sim,Tenho interesse,,,,Sim,Outro
18–24,"Não, eu não moro em Cachoeira do Sul, mas teria interesse em me mudar para cursar na UFSM-CS",Rosário do Sul - RS,Ensino Médio completo,Não tenho,Não estou trabalhando,Sim,,Ainda sem previsão,"Sim, tenho interesse",Distância,Sim,4- Interesse alto,Diurno,Afinidade com a área,Sim,Tenho interesse,,,,Não,Outro
Menos de 18,"Não, eu não moro em Cachoeira do Sul e não tenho interesse em me mudar para a cidade",Rosário do Sul - RS,Ensino Médio incompleto,Não tenho,Não estou trabalhando,Sim,,Sem interesse,Não tenho interesse,,,,,,,,,,,Sim,Outro
Menos de 18,"Não, eu não moro em Cachoeira do Sul, mas teria interesse em me mudar para cursar na UFSM-CS",Rosário do Sul - RS,Ensino Médio incompleto,Não tenho,Não estou trabalhando,Sim,,Em 1–2 anos,"Talvez, dependendo do curso",Distância,Sim,4- Interesse alto,Integral,Afinidade com a área,Sim,Tenho interesse,,,,Não,Outro
18–24,"Não, eu não moro em Cachoeira do Sul e não tenho interesse em me mudar para a cidade",Rosário do Sul - RS,Ensino Médio completo,Não tenho,Não estou trabalhando,Sim,,Ainda sem previsão,"Talvez, dependendo do curso",Falta de dinheiro,Talvez,2 – Tenho pouco interesse,Diurno,"Facilidade de inserção profissional, Prestígio da profissão, Opinião de familiares/amigos",Sim,Talvez teria interesse,,,,Não,Outro
18–24,"Não, eu não moro em Cachoeira do Sul e não tenho interesse em me mudar para a cidade",Rosário do Sul - RS,Ensino Médio completo,Não tenho,Estagiário,Sim,,Nos próximos 6 meses,Não tenho interesse,,,,,,,,,,,Não,Outro
Menos de 18,"Não, eu não moro em Cachoeira do Sul, mas teria interesse em me mudar para cursar na UFSM-CS",Rosário do Sul - RS,Ensino Médio incompleto,Não tenho,Não estou trabalhando,Sim,,Em até 1 ano,"Talvez, dependendo do curso",Falta de dinheiro,Talvez,5 - Interesse muito alto,Noturno,"Remuneração no mercado, Prestígio da profissão",Sim,Tenho interesse,,,,Sim,Outro
Menos de 18,"Não, eu não moro em Cachoeira do Sul, mas teria interesse em me mudar para cursar na UFSM-CS",Rosário do Sul - RS,Ensino Médio incompleto,Não tenho,Não estou trabalhando,Sim,,Ainda sem previsão,"Talvez, dependendo do curso",Falta de dinheiro,Talvez,4- Interesse alto,Diurno,Afinidade com a área,Sim,Talvez teria interesse,,,,Sim,Outro
Menos de 18,"Não, eu não moro em Cachoeira do Sul, mas teria interesse em me mudar para cursar na UFSM-CS",Rosário do Sul - RS,Ensino Médio incompleto,Não tenho,Jovem Aprendiz,Sim,,Em até 1 ano,"Talvez, dependendo do curso",Trabalho / família,Sim,3 – Interesse moderado,Noturno,"Afinidade com a área, Remuneração no mercado, Facilidade de inserção profissional, Duração do curso",Sim,Tenho interesse,,,,Sim,Outro
Menos de 18,"Não, eu não moro em Cachoeira do Sul, mas teria interesse em me mudar para cursar na UFSM-CS",Santa Cruz do Sul - RS,Ensino Médio incompleto,Não tenho,Comércio / Vendas / Atendimento,Sim,,Em 1–2 anos,"Sim, tenho interesse",Falta de dinheiro,Sim,3 – Interesse moderado,Diurno,"Afinidade com a área, Facilidade de inserção profissional",Sim,Não tenho interesse,Ainda não sei / Estou em dúvida,,,Não,Outro
Menos de 18,"Não, eu não moro em Cachoeira do Sul e não tenho interesse em me mudar para a cidade",Santa Cruz do Sul - RS,Ensino Médio incompleto,Não tenho,Não estou trabalhando,Sim,,Ainda sem previsão,"Sim, tenho interesse",Falta de tempo,Sim,4- Interesse alto,Diurno,Afinidade com a área,Sim,Tenho interesse,,,,Não,Outro
Menos de 18,"Não, eu não moro em Cachoeira do Sul e não tenho interesse em me mudar para a cidade",Santa Cruz do Sul - RS,Ensino Médio incompleto,Não tenho,Não estou trabalhando,Sim,,Em 1–2 anos,"Talvez, dependendo do curso",Falta de dinheiro,Talvez,2 – Tenho pouco interesse,Diurno,"Afinidade com a área, Prestígio da profissão",Sim,Não tenho interesse,Ainda não sei / Estou em dúvida,,,Não,Outro
Menos de 18,"Não, eu não moro em Cachoeira do Sul, mas teria interesse em me mudar para cursar na UFSM-CS",Rosário do Sul - RS,Ensino Médio incompleto,Técnico,Comércio / Vendas / Atendimento,Sim,,Ainda sem previsão,"Sim, tenho interesse",Trabalho / família,Talvez,3 – Interesse moderado,Noturno,"Remuneração no mercado, Facilidade de inserção profissional, Prestígio da profissão, Duração do curso",Sim,Tenho interesse,,,,Sim,Outro
Menos de 18,"Não, eu não moro em Cachoeira do Sul, mas teria interesse em me mudar para cursar na UFSM-CS",Rosário do Sul - RS,Ensino Médio incompleto,Técnico,Não estou trabalhando,Sim,,Nos próximos 6 meses,"Sim, tenho interesse",Falta de dinheiro,Sim,5 - Interesse muito alto,Integral,"Afinidade com a área, Remuneração no mercado, Facilidade de inserção profissional",Sim,Tenho interesse,,,,Não,Outro
Menos de 18,"Não, eu não moro em Cachoeira do Sul e não tenho interesse em me mudar para a cidade",Santa Cruz do Sul - RS,Ensino Médio incompleto,Não tenho,Não estou trabalhando,Sim,,Em até 1 ano,Não tenho interesse,,,,,,,,,,,Não,Outro
Menos de 18,"Não, eu não moro em Cachoeira do Sul, mas teria interesse em me mudar para cursar na UFSM-CS",Rosário do Sul - RS,Ensino Médio completo,Não tenho,Não estou trabalhando,Sim,,Em até 1 ano,"Sim, tenho interesse",Falta de dinheiro,Sim,3 – Interesse moderado,Diurno,"Prestígio da profissão, Duração do curso",Talvez,Tenho interesse,,,,Sim,Outro
Menos de 18,"Não, eu não moro em Cachoeira do Sul e não tenho interesse em me mudar para a cidade",Rosário do Sul - RS,Ensino Médio incompleto,Não tenho,Não estou trabalhando,Sim,,Ainda sem previsão,"Talvez, dependendo do curso",Distância,Talvez,3 – Interesse moderado,Diurno,"Afinidade com a área, Opinião de familiares/amigos",Talvez,Talvez teria interesse,,,,Não,Outro
Menos de 18,"Não, eu não moro em Cachoeira do Sul, mas teria interesse em me mudar para cursar na UFSM-CS",Santa Cruz do Sul - RS,Ensino Médio incompleto,Não tenho,Não estou trabalhando,Sim,,Em 1–2 anos,Não tenho interesse,,,,,,,,,,,Sim,Outro
18–24,"Sim, eu moro em Cachoeira do Sul",,Ensino Superior incompleto,Não tenho,Estagiário,"Não, estou cursando outro curso na UFSM-CS no momento",Engenharia Mecânica,,"Sim, tenho interesse",Trabalho / família,"Não, pois já estou cursando outro curso na UFSM-CS",,,,,,,,,,Outro
Menos de 18,"Não, eu não moro em Cachoeira do Sul e não tenho interesse em me mudar para a cidade",Santa Cruz do Sul - RS,Ensino Médio incompleto,Não tenho,Não estou trabalhando,Sim,,Ainda sem previsão,Não tenho interesse,,,,,,,,,,,Sim,Outro
Menos de 18,"Não, eu não moro em Cachoeira do Sul, mas teria interesse em me mudar para cursar na UFSM-CS",Santa Cruz do Sul - RS,Ensino Médio incompleto,Não tenho,Não estou trabalhando,Sim,,Em 1–2 anos,Não tenho interesse,,,,,,,,,,,Sim,Outro
Menos de 18,"Não, eu não moro em Cachoeira do Sul e não tenho interesse em me mudar para a cidade",Santa Cruz do Sul - RS,Ensino Médio incompleto,Não tenho,Comércio / Vendas / Atendimento,Sim,,Em 1–2 anos,Não tenho interesse,,,,,,,,,,,Sim,Outro
Menos de 18,"Não, eu não moro em Cachoeira do Sul e não tenho interesse em me mudar para a cidade",Santa Cruz do Sul - RS,Ensino Médio incompleto,Não tenho,Comércio / Vendas / Atendimento,Sim,,Em 1–2 anos,"Talvez, dependendo do curso",Falta de tempo,Não,,,,,Talvez teria interesse,,,,Sim,Outro
Menos de 18,"Não, eu não moro em Cachoeira do Sul e não tenho interesse em me mudar para a cidade",Rosário do Sul - RS,Ensino Médio incompleto,Não tenho,Não estou trabalhando,Sim,,Ainda sem previsão,"Sim, tenho interesse",Falta de tempo,Talvez,3 – Interesse moderado,Diurno,Prestígio da profissão,Talvez,Talvez teria interesse,,,,Não,Outro
25–34,"Não, eu não moro em Cachoeira do Sul, mas teria interesse em me mudar para cursar na UFSM-CS",Salto do Jacuí - RS,Ensino Superior completo,Técnico,Indústria / Produção,Sim,,Nos próximos 6 meses,"Sim, tenho interesse",Falta de dinheiro,Sim,4- Interesse alto,Integral,Remuneração no mercado,Sim,Tenho interesse,,,,Sim,Outro
25–34,"Não, eu não moro em Cachoeira do Sul, mas teria interesse em me mudar para cursar na UFSM-CS",Salto do Jacuí - RS,Ensino Superior completo,Técnico,Comércio / Vendas / Atendimento,Sim,,Em até 1 ano,"Sim, tenho interesse",Falta de dinheiro,Sim,4- Interesse alto,Noturno,Afinidade com a área,Sim,Tenho interesse,,,,Sim,Outro
Menos de 18,"Não, eu não moro em Cachoeira do Sul e não tenho interesse em me mudar para a cidade",Rosário do Sul - RS,Ensino Médio completo,Não tenho,Comércio / Vendas / Atendimento,Sim,,Em 1–2 anos,"Talvez, dependendo do curso",Falta de dinheiro,Talvez,1 – Não tenho interesse,Diurno,Prestígio da profissão,Talvez,Talvez teria interesse,,,,Sim,Outro
18–24,"Não, eu não moro em Cachoeira do Sul, mas teria interesse em me mudar para cursar na UFSM-CS",Rosário do Sul - RS,Ensino Médio completo,Não tenho,Comércio / Vendas / Atendimento,Sim,,Em 1–2 anos,"Talvez, dependendo do curso",Falta de dinheiro,Não,,,,,Talvez teria interesse,,,,Sim,Outro
18–24,"Não, eu não moro em Cachoeira do Sul e não tenho interesse em me mudar para a cidade",Rosário do Sul - RS,Ensino Médio incompleto,Não tenho,Não estou trabalhando,Sim,,Nos próximos 6 meses,Não tenho interesse,,,,,,,,,,,Não,Outro
Menos de 18,"Não, eu não moro em Cachoeira do Sul, mas teria interesse em me mudar para cursar na UFSM-CS",Rosário do Sul - RS,Ensino Médio completo,Não tenho,Não estou trabalhando,Sim,,Em até 1 ano,"Sim, tenho interesse",Distância,Sim,3 – Interesse moderado,Noturno,"Remuneração no mercado, Facilidade de inserção profissional",Talvez,Tenho interesse,,,,Não,Outro
